"Subject" "Date" "Unique_ID" "Cell_Type" "Contrast_Agent" "Protocol" "Parameter" "Statistic" "Value"
"447" "Gela" "090417" "Gela090417MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Area" "5%" 59
"448" "Gela" "090417" "Gela090417MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Area" "95%" 76
"449" "Gela" "090417" "Gela090417MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Deformation" "Mean" 4.85
"450" "Gela" "090417" "Gela090417MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Deformation" "SD" 1.54
"451" "Gela" "090417" "Gela090417MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Deformation" "5%" 2.87
"452" "Gela" "090417" "Gela090417MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Deformation" "95%" 7.92
"453" "Gela" "090417" "Gela090417MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "E" "Mean" 1.01
"454" "Gela" "090417" "Gela090417MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "E" "SD" 0.21
"455" "Gela" "090417" "Gela090417MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "E" "5%" 0.78
"456" "Gela" "090417" "Gela090417MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "E" "95%" 1.27
"457" "Martin" "101017" "Martin101017MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Area" "Mean" 65.6
"458" "Martin" "101017" "Martin101017MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Area" "SD" 7.55
"459" "Martin" "101017" "Martin101017MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Area" "5%" 56
"460" "Martin" "101017" "Martin101017MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Area" "95%" 79.3
"461" "Martin" "101017" "Martin101017MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Deformation" "Mean" 5.83
"462" "Martin" "101017" "Martin101017MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Deformation" "SD" 2.02
"463" "Martin" "101017" "Martin101017MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Deformation" "5%" 2.2
"464" "Martin" "101017" "Martin101017MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Deformation" "95%" 9.31
"465" "Martin" "101017" "Martin101017MonocytesGadovist" "Monocytes" "Gadovist" "Control" "E" "Mean" 0.94
"466" "Martin" "101017" "Martin101017MonocytesGadovist" "Monocytes" "Gadovist" "Control" "E" "SD" 0.27
"467" "Martin" "101017" "Martin101017MonocytesGadovist" "Monocytes" "Gadovist" "Control" "E" "5%" 0.71
"468" "Martin" "101017" "Martin101017MonocytesGadovist" "Monocytes" "Gadovist" "Control" "E" "95%" 1.46
"469" "Martin" "101017" "Martin101017MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Area" "Mean" 65.1
"470" "Martin" "101017" "Martin101017MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Area" "SD" 6.63
"471" "Martin" "101017" "Martin101017MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Area" "5%" 55.8
"472" "Martin" "101017" "Martin101017MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Area" "95%" 78
"473" "Martin" "101017" "Martin101017MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Deformation" "Mean" 5.18
"474" "Martin" "101017" "Martin101017MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Deformation" "SD" 1.8
"475" "Martin" "101017" "Martin101017MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Deformation" "5%" 2.7
"476" "Martin" "101017" "Martin101017MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Deformation" "95%" 8.78
"477" "Martin" "101017" "Martin101017MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "E" "Mean" 0.97
"478" "Martin" "101017" "Martin101017MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "E" "SD" 0.22
"479" "Martin" "101017" "Martin101017MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "E" "5%" 0.73
"480" "Martin" "101017" "Martin101017MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "E" "95%" 1.31
"481" "Martin" "000000" "Martin000000MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Area" "Mean" 64.3
"482" "Martin" "000000" "Martin000000MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Area" "SD" 5.92
"483" "Martin" "000000" "Martin000000MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Area" "5%" 55.7
"484" "Martin" "000000" "Martin000000MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Area" "95%" 74.7
"485" "Martin" "000000" "Martin000000MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Deformation" "Mean" 4.59
"486" "Martin" "000000" "Martin000000MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Deformation" "SD" 1.79
"487" "Martin" "000000" "Martin000000MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Deformation" "5%" 2.13
"488" "Martin" "000000" "Martin000000MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Deformation" "95%" 7.91
"489" "Martin" "000000" "Martin000000MonocytesGadovist" "Monocytes" "Gadovist" "Control" "E" "Mean" 1.07
"490" "Martin" "000000" "Martin000000MonocytesGadovist" "Monocytes" "Gadovist" "Control" "E" "SD" 0.4
"491" "Martin" "000000" "Martin000000MonocytesGadovist" "Monocytes" "Gadovist" "Control" "E" "5%" 0.76
"492" "Martin" "000000" "Martin000000MonocytesGadovist" "Monocytes" "Gadovist" "Control" "E" "95%" 1.51
"493" "Martin" "000000" "Martin000000MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Area" "Mean" 66.1
"494" "Martin" "000000" "Martin000000MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Area" "SD" 6.3
"495" "Martin" "000000" "Martin000000MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Area" "5%" 56.8
"496" "Martin" "000000" "Martin000000MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Area" "95%" 78.1
"497" "Martin" "000000" "Martin000000MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Deformation" "Mean" 5.39
"498" "Martin" "000000" "Martin000000MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Deformation" "SD" 1.68
"499" "Martin" "000000" "Martin000000MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Deformation" "5%" 3
"500" "Martin" "000000" "Martin000000MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Deformation" "95%" 8.58
"501" "Martin" "000000" "Martin000000MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "E" "Mean" 0.95
"502" "Martin" "000000" "Martin000000MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "E" "SD" 0.24
"503" "Martin" "000000" "Martin000000MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "E" "5%" 0.75
"504" "Martin" "000000" "Martin000000MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "E" "95%" 1.22
"505" "Philip" "000000" "Philip000000MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Area" "Mean" 63.9
"506" "Philip" "000000" "Philip000000MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Area" "SD" 4.85
"507" "Philip" "000000" "Philip000000MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Area" "5%" 56.8
"508" "Philip" "000000" "Philip000000MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Area" "95%" 73
"509" "Philip" "000000" "Philip000000MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Deformation" "Mean" 4.57
"510" "Philip" "000000" "Philip000000MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Deformation" "SD" 1.55
"511" "Philip" "000000" "Philip000000MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Deformation" "5%" 2.53
"512" "Philip" "000000" "Philip000000MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Deformation" "95%" 7.71
"513" "Philip" "000000" "Philip000000MonocytesGadovist" "Monocytes" "Gadovist" "Control" "E" "Mean" 1.02
"514" "Philip" "000000" "Philip000000MonocytesGadovist" "Monocytes" "Gadovist" "Control" "E" "SD" 0.19
"515" "Philip" "000000" "Philip000000MonocytesGadovist" "Monocytes" "Gadovist" "Control" "E" "5%" 0.77
"516" "Philip" "000000" "Philip000000MonocytesGadovist" "Monocytes" "Gadovist" "Control" "E" "95%" 1.36
"517" "Philip" "000000" "Philip000000MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Area" "Mean" 65.7
"518" "Philip" "000000" "Philip000000MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Area" "SD" 5.79
"519" "Philip" "000000" "Philip000000MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Area" "5%" 57.6
"520" "Philip" "000000" "Philip000000MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Area" "95%" 77.1
"521" "Philip" "000000" "Philip000000MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Deformation" "Mean" 5.03
"522" "Philip" "000000" "Philip000000MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Deformation" "SD" 1.7
"523" "Philip" "000000" "Philip000000MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Deformation" "5%" 2.89
"524" "Philip" "000000" "Philip000000MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Deformation" "95%" 8.56
"525" "Philip" "000000" "Philip000000MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "E" "Mean" 0.98
"526" "Philip" "000000" "Philip000000MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "E" "SD" 0.19
"527" "Philip" "000000" "Philip000000MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "E" "5%" 0.75
"528" "Philip" "000000" "Philip000000MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "E" "95%" 1.26
"529" "Gela" "061317" "Gela061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Area" "Mean" 65.6
"530" "Gela" "061317" "Gela061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Area" "SD" 5.38
"531" "Gela" "061317" "Gela061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Area" "5%" 58.4
"532" "Gela" "061317" "Gela061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Area" "95%" 75.5
"533" "Gela" "061317" "Gela061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Deformation" "Mean" 6.43
"534" "Gela" "061317" "Gela061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Deformation" "SD" 1.83
"535" "Gela" "061317" "Gela061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Deformation" "5%" 3.4
"536" "Gela" "061317" "Gela061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Deformation" "95%" 9.57
"537" "Gela" "061317" "Gela061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "E" "Mean" 0.86
"538" "Gela" "061317" "Gela061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "E" "SD" 0.18
"539" "Gela" "061317" "Gela061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "E" "5%" 0.7
"540" "Gela" "061317" "Gela061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "E" "95%" 1.15
"541" "Gela" "061317" "Gela061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Area" "Mean" 66
"542" "Gela" "061317" "Gela061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Area" "SD" 5.66
"543" "Gela" "061317" "Gela061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Area" "5%" 57.8
"544" "Gela" "061317" "Gela061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Area" "95%" 76
"545" "Gela" "061317" "Gela061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Deformation" "Mean" 5.47
"546" "Gela" "061317" "Gela061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Deformation" "SD" 1.72
"547" "Gela" "061317" "Gela061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Deformation" "5%" 2.99
"548" "Gela" "061317" "Gela061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Deformation" "95%" 8.8
"549" "Gela" "061317" "Gela061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "E" "Mean" 0.94
"550" "Gela" "061317" "Gela061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "E" "SD" 0.16
"551" "Gela" "061317" "Gela061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "E" "5%" 0.74
"552" "Gela" "061317" "Gela061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "E" "95%" 1.23
"553" "Maik" "061317" "Maik061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Area" "Mean" 65.1
"554" "Maik" "061317" "Maik061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Area" "SD" 5.32
"555" "Maik" "061317" "Maik061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Area" "5%" 57.3
"556" "Maik" "061317" "Maik061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Area" "95%" 74.9
"557" "Maik" "061317" "Maik061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Deformation" "Mean" 5.79
"558" "Maik" "061317" "Maik061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Deformation" "SD" 1.87
"559" "Maik" "061317" "Maik061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Deformation" "5%" 2.85
"560" "Maik" "061317" "Maik061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Deformation" "95%" 9.12
"561" "Maik" "061317" "Maik061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "E" "Mean" 0.92
"562" "Maik" "061317" "Maik061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "E" "SD" 0.25
"563" "Maik" "061317" "Maik061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "E" "5%" 0.72
"564" "Maik" "061317" "Maik061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "E" "95%" 1.27
"565" "Maik" "061317" "Maik061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Area" "Mean" 67.6
"566" "Maik" "061317" "Maik061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Area" "SD" 5.69
"567" "Maik" "061317" "Maik061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Area" "5%" 59
"568" "Maik" "061317" "Maik061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Area" "95%" 77.8
"569" "Maik" "061317" "Maik061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Deformation" "Mean" 6.12
"570" "Maik" "061317" "Maik061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Deformation" "SD" 1.79
"571" "Maik" "061317" "Maik061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Deformation" "5%" 3.38
"572" "Maik" "061317" "Maik061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Deformation" "95%" 9.23
"573" "Maik" "061317" "Maik061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "E" "Mean" 0.89
"574" "Maik" "061317" "Maik061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "E" "SD" 0.14
"575" "Maik" "061317" "Maik061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "E" "5%" 0.73
"576" "Maik" "061317" "Maik061317NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "E" "95%" 1.15
"577" "Gela" "090417" "Gela090417NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Area" "Mean" 63.5
"578" "Gela" "090417" "Gela090417NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Area" "SD" 5.39
"579" "Gela" "090417" "Gela090417NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Area" "5%" 56.5
"580" "Gela" "090417" "Gela090417NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Area" "95%" 74
"581" "Gela" "090417" "Gela090417NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Deformation" "Mean" 5.26
"582" "Gela" "090417" "Gela090417NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Deformation" "SD" 1.93
"583" "Gela" "090417" "Gela090417NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Deformation" "5%" 2.54
"584" "Gela" "090417" "Gela090417NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Deformation" "95%" 9.03
"585" "Gela" "090417" "Gela090417NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "E" "Mean" 0.96
"586" "Gela" "090417" "Gela090417NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "E" "SD" 0.2
"587" "Gela" "090417" "Gela090417NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "E" "5%" 0.72
"588" "Gela" "090417" "Gela090417NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "E" "95%" 1.34
"589" "Gela" "090417" "Gela090417NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Area" "Mean" 65.4
"590" "Gela" "090417" "Gela090417NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Area" "SD" 5.19
"591" "Gela" "090417" "Gela090417NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Area" "5%" 58.3
"592" "Gela" "090417" "Gela090417NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Area" "95%" 74.6
"593" "Gela" "090417" "Gela090417NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Deformation" "Mean" 6.22
"594" "Gela" "090417" "Gela090417NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Deformation" "SD" 1.4
"595" "Gela" "090417" "Gela090417NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Deformation" "5%" 4.14
"596" "Gela" "090417" "Gela090417NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Deformation" "95%" 8.9
"597" "Gela" "090417" "Gela090417NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "E" "Mean" 0.85
"598" "Gela" "090417" "Gela090417NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "E" "SD" 0.093
"599" "Gela" "090417" "Gela090417NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "E" "5%" 0.73
"600" "Gela" "090417" "Gela090417NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "E" "95%" 1.03
"601" "Martin" "101017" "Martin101017NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Area" "Mean" 68.7
"602" "Martin" "101017" "Martin101017NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Area" "SD" 5.98
"603" "Martin" "101017" "Martin101017NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Area" "5%" 60.9
"604" "Martin" "101017" "Martin101017NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Area" "95%" 80.4
"605" "Martin" "101017" "Martin101017NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Deformation" "Mean" 7.12
"606" "Martin" "101017" "Martin101017NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Deformation" "SD" 1.41
"607" "Martin" "101017" "Martin101017NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Deformation" "5%" 4.85
"608" "Martin" "101017" "Martin101017NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Deformation" "95%" 9.46
"609" "Martin" "101017" "Martin101017NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "E" "Mean" 0.83
"610" "Martin" "101017" "Martin101017NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "E" "SD" 0.14
"611" "Martin" "101017" "Martin101017NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "E" "5%" 0.73
"612" "Martin" "101017" "Martin101017NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "E" "95%" 0.97
"613" "Martin" "101017" "Martin101017NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Area" "Mean" 66.7
"614" "Martin" "101017" "Martin101017NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Area" "SD" 6.32
"615" "Martin" "101017" "Martin101017NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Area" "5%" 57.3
"616" "Martin" "101017" "Martin101017NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Area" "95%" 76.4
"617" "Martin" "101017" "Martin101017NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Deformation" "Mean" 6.16
"618" "Martin" "101017" "Martin101017NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Deformation" "SD" 1.68
"619" "Martin" "101017" "Martin101017NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Deformation" "5%" 3.74
"620" "Martin" "101017" "Martin101017NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Deformation" "95%" 9.5
"621" "Martin" "101017" "Martin101017NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "E" "Mean" 0.88
"622" "Martin" "101017" "Martin101017NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "E" "SD" 0.11
"623" "Martin" "101017" "Martin101017NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "E" "5%" 0.73
"624" "Martin" "101017" "Martin101017NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "E" "95%" 1.1
"625" "Martin" "000000" "Martin000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Area" "Mean" 67.7
"626" "Martin" "000000" "Martin000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Area" "SD" 9.56
"627" "Martin" "000000" "Martin000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Area" "5%" 56
"628" "Martin" "000000" "Martin000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Area" "95%" 87
"629" "Martin" "000000" "Martin000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Deformation" "Mean" 4.55
"630" "Martin" "000000" "Martin000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Deformation" "SD" 1.83
"631" "Martin" "000000" "Martin000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Deformation" "5%" 2.12
"632" "Martin" "000000" "Martin000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Deformation" "95%" 8.73
"633" "Martin" "000000" "Martin000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "E" "Mean" 1.09
"634" "Martin" "000000" "Martin000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "E" "SD" 0.31
"635" "Martin" "000000" "Martin000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "E" "5%" 0.74
"636" "Martin" "000000" "Martin000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "E" "95%" 1.52
"637" "Martin" "000000" "Martin000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Area" "Mean" 67.6
"638" "Martin" "000000" "Martin000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Area" "SD" 8.77
"639" "Martin" "000000" "Martin000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Area" "5%" 56.4
"640" "Martin" "000000" "Martin000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Area" "95%" 87.8
"641" "Martin" "000000" "Martin000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Deformation" "Mean" 5.15
"642" "Martin" "000000" "Martin000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Deformation" "SD" 1.82
"643" "Martin" "000000" "Martin000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Deformation" "5%" 2.54
"644" "Martin" "000000" "Martin000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Deformation" "95%" 8.74
"645" "Martin" "000000" "Martin000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "E" "Mean" 1.02
"646" "Martin" "000000" "Martin000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "E" "SD" 0.38
"647" "Martin" "000000" "Martin000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "E" "5%" 0.73
"648" "Martin" "000000" "Martin000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "E" "95%" 1.35
"649" "Philip" "000000" "Philip000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Area" "Mean" 64.2
"650" "Philip" "000000" "Philip000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Area" "SD" 5.65
"651" "Philip" "000000" "Philip000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Area" "5%" 56.4
"652" "Philip" "000000" "Philip000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Area" "95%" 74
"653" "Philip" "000000" "Philip000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Deformation" "Mean" 5.51
"654" "Philip" "000000" "Philip000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Deformation" "SD" 1.98
"655" "Philip" "000000" "Philip000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Deformation" "5%" 2.63
"656" "Philip" "000000" "Philip000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "Deformation" "95%" 9.36
"657" "Philip" "000000" "Philip000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "E" "Mean" 0.94
"658" "Philip" "000000" "Philip000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "E" "SD" 0.23
"659" "Philip" "000000" "Philip000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "E" "5%" 0.72
"660" "Philip" "000000" "Philip000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Control" "E" "95%" 1.31
"661" "Philip" "000000" "Philip000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Area" "Mean" 66.1
"662" "Philip" "000000" "Philip000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Area" "SD" 5.68
"663" "Philip" "000000" "Philip000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Area" "5%" 57.8
"664" "Philip" "000000" "Philip000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Area" "95%" 75.9
"665" "Philip" "000000" "Philip000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Deformation" "Mean" 6.26
"666" "Philip" "000000" "Philip000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Deformation" "SD" 1.78
"667" "Philip" "000000" "Philip000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Deformation" "5%" 3.41
"668" "Philip" "000000" "Philip000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "Deformation" "95%" 9.31
"669" "Philip" "000000" "Philip000000NeutrophilsGadovist" "Neutrophils" "Gadovist" "Treatment" "E" "Mean" 0.87
